date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:33	4999/4999	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f0fe6e-1387%22	https://instafollowers.pro/free-followers/js/sticky.js	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/js/sticky.js	(from https://instafollowers.pro/free-followers/)
14:52:33	1521/1521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f0fe6d-5f1%22	https://instafollowers.pro/free-followers/js/form-scripts.js	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/js/form-scripts.js	(from https://instafollowers.pro/free-followers/)
14:52:33	3891/3891	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f0fe6d-f33%22	https://instafollowers.pro/free-followers/js/jquery.countTo.js	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/js/jquery.countTo.js	(from https://instafollowers.pro/free-followers/)
14:52:34	22602/22602	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261f0fe6e-584a%22	https://instafollowers.pro/free-followers/js/main.js	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/js/main.js	(from https://instafollowers.pro/free-followers/)
14:52:35	36737/36737	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Feb%202022%2014:52:35%20GMT	https://instafollowers.pro/s_include.php?id=813241	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/s_includeb039.html	(from https://instafollowers.pro/free-followers/)
14:52:35	171/171	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jan%202022%2007:42:40%20GMT	https://instafollowers.pro/assets/img/OnlyFans-Unlock-Premium-32x32.png	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/img/OnlyFans-Unlock-Premium-32x32.png	(from https://instafollowers.pro/terms-of-use.html)
14:52:37	13746/13746	---MCZ	200	added ('OK')	text/css	etag:W/%2261f0fba1-35b2%22	https://instafollowers.pro/assets/vendor/glightbox/css/glightbox.min.css	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/assets/vendor/glightbox/css/glightbox.min.css	(from https://instafollowers.pro/terms-of-use.html)
14:52:37	221220/221220	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261f0fe66-36024%22	https://instafollowers.pro/free-followers/fonts/ScriptBlack.eot	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/fonts/ScriptBlack.eot	(from https://instafollowers.pro/free-followers/css/style.css)
14:52:38	221220/221220	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261f0fe66-36024%22	https://instafollowers.pro/free-followers/fonts/ScriptBlack.eot?	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/fonts/ScriptBlackd41d.eot	(from https://instafollowers.pro/free-followers/css/style.css)
14:52:38	32776/32776	---M--	200	added ('OK')	font/woff2	etag:%2261f0fe66-8008%22	https://instafollowers.pro/free-followers/fonts/ScriptBlack.woff2	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/fonts/ScriptBlack.woff2	(from https://instafollowers.pro/free-followers/css/style.css)
14:52:39	54744/54744	---M--	200	added ('OK')	font/woff	etag:%2261f0fe66-d5d8%22	https://instafollowers.pro/free-followers/fonts/ScriptBlack.woff	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/fonts/ScriptBlack.woff	(from https://instafollowers.pro/free-followers/css/style.css)
14:52:41	221032/221032	---M--	200	added ('OK')	application/octet-stream	etag:%2261f0fe66-35f68%22	https://instafollowers.pro/free-followers/fonts/ScriptBlack.ttf	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/fonts/ScriptBlack.ttf	(from https://instafollowers.pro/free-followers/css/style.css)
14:52:41	322217/322217	---M--	200	added ('OK')	image/png	etag:%2261f0fe6a-4eaa9%22	https://instafollowers.pro/free-followers/img/phone-mockup.png	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/img/phone-mockup.png	(from https://instafollowers.pro/free-followers/css/style.css)
14:52:57	2999299/2999299	---M--	200	added ('OK')	video/mp4	etag:%222dc403-5d67787167c4f%22	https://instafollowers.pro/free-followers/video/tutorial.mp4	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/video/tutorial.mp4	(from https://instafollowers.pro/free-followers/)
14:52:59	7040706/7040706	---M--	200	added ('OK')	video/mp4	etag:%226b6ec2-5d6778754ee17%22	https://instafollowers.pro/free-followers/video/bgvideo.mp4	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/free-followers/video/bgvideo.mp4	(from https://instafollowers.pro/free-followers/)
14:52:59	171/171	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Jan%202022%2007:42:40%20GMT	https://instafollowers.pro/%22%22;	C:/Users/kirbt/Work/CPA/Instagram%20Followers%20Generator/InstaFollowers.Pro/instafollowers.pro/__;.31.delayed	(from https://instafollowers.pro/s_include.php?id=813241)
